air_quality,temperature,humidity,label
167,27.600000381469727,54.20000076293945,0
177,27.299999237060547,54.70000076293945,0
169,27.600000381469727,54.79999923706055,0
173,27.899999618530273,54.099998474121094,0
177,27.600000381469727,53.70000076293945,0
182,27.299999237060547,52.79999923706055,0
178,27.299999237060547,53.20000076293945,0
187,27.600000381469727,52.5,0
189,27.899999618530273,53.29999923706055,0
187,28,54,0
188,28.200000762939453,54.79999923706055,0
175,28.200000762939453,54.099998474121094,0
174,27.899999618530273,54.900001525878906,0
180,27.899999618530273,55,0
172,27.700000762939453,55.79999923706055,0
181,27.899999618530273,55.599998474121094,0
196,27.700000762939453,55.099998474121094,0
190,28.100000381469727,55.099998474121094,0
201,27.799999237060547,56,1
197,28,56.70000076293945,0
207,28,57.70000076293945,1
220,28.299999237060547,57.20000076293945,1
232,28.299999237060547,56.29999923706055,1
225,27.799999237060547,56.20000076293945,1
216,27.700000762939453,56.599998474121094,1
202,27.5,56.599998474121094,1
200,27,55.900001525878906,1
205,27.200000762939453,55.099998474121094,1
204,27.600000381469727,55.70000076293945,1
201,27.399999618530273,54.70000076293945,1
201,27.600000381469727,55.099998474121094,1
203,27.5,54.5,1
207,27.100000381469727,54.900001525878906,1
221,27.100000381469727,54.099998474121094,1
231,26.700000762939453,54,1
231,26.299999237060547,53.70000076293945,1
232,26.5,54.5,1
235,26.100000381469727,54,1
247,25.799999237060547,53.20000076293945,1
242,25.5,53.20000076293945,1
243,25.799999237060547,53.099998474121094,1
236,25.299999237060547,52.900001525878906,1
242,25.5,52.70000076293945,1
235,25.899999618530273,52.900001525878906,1
244,26.299999237060547,52.79999923706055,1
239,26.200000762939453,53,1
249,26.5,53.20000076293945,1
235,26.600000381469727,53.20000076293945,1
241,26.299999237060547,54.099998474121094,1
249,26.700000762939453,54.79999923706055,1
246,27,55.5,1
254,26.799999237060547,55.29999923706055,1
253,27.299999237060547,55.5,1
244,27.700000762939453,54.900001525878906,1
247,27.899999618530273,54,1
236,28.200000762939453,53.099998474121094,1
223,28,52.79999923706055,1
235,27.899999618530273,52.79999923706055,1
231,28.399999618530273,52.79999923706055,1
228,28.799999237060547,52.5,1
